AAPL (APPLE INC),171.51,+0.40,
Jan 28 2018 @ 22:49 ET,Bid,171.39,Ask,171.40,Size,2x2,Vol,39143011,
Calls,Last Sale,Net,Bid,Ask,Vol,Open Int,Puts,Last Sale,Net,Bid,Ask,Vol,Open Int,
18 Jan 135.00 (AAPL1826A135),36.35,-3.11,35.20,37.50,1,33,18 Jan 135.00 (AAPL1826M135),0.0,0.0,0.0,0.13,0,0,
18 Jan 135.00 (AAPL1826A135-3),36.35,-2.48,34.25,38.55,1,33,18 Jan 135.00 (AAPL1826M135-3),0.0,0.0,0.0,0.18,0,0,
18 Jan 135.00 (AAPL1826A135-4),39.05,0.0,35.20,37.50,0,33,18 Jan 135.00 (AAPL1826M135-4),0.0,0.0,0.0,0.13,0,0,
18 Jan 135.00 (AAPL1826A135-8),0.0,0.0,34.00,38.55,0,33,18 Jan 135.00 (AAPL1826M135-8),0.0,0.0,0.0,0.18,0,0,
18 Jan 135.00 (AAPL1826A135-A),0.0,0.0,34.25,38.25,0,33,18 Jan 135.00 (AAPL1826M135-A),0.0,0.0,0.0,0.13,0,0,
18 Jan 135.00 (AAPL1826A135-B),0.0,0.0,34.00,38.55,0,33,18 Jan 135.00 (AAPL1826M135-B),0.0,0.0,0.0,0.13,0,0,
18 Jan 135.00 (AAPL1826A135-E),39.46,0.0,35.20,37.50,0,33,18 Jan 135.00 (AAPL1826M135-E),0.0,0.0,0.0,0.13,0,0,
18 Jan 135.00 (AAPL1826A135-I),0.0,0.0,34.25,38.50,0,33,18 Jan 135.00 (AAPL1826M135-I),0.0,0.0,0.0,0.13,0,0,
18 Jan 135.00 (AAPL1826A135-J),0.0,0.0,34.25,38.55,0,33,18 Jan 135.00 (AAPL1826M135-J),0.0,0.0,0.0,0.13,0,0,
18 Jan 135.00 (AAPL1826A135-K),0.0,0.0,34.25,38.55,0,33,18 Jan 135.00 (AAPL1826M135-K),0.0,0.0,0.0,2.13,0,0,
18 Jan 135.00 (AAPL1826A135-O),0.0,0.0,34.00,38.50,0,33,18 Jan 135.00 (AAPL1826M135-O),0.0,0.0,0.0,0.13,0,0,
18 Jan 135.00 (AAPL1826A135-OG),0.0,0.0,33.55,38.55,0,33,18 Jan 135.00 (AAPL1826M135-OG),0.0,0.0,0.0,0.13,0,0,
18 Jan 135.00 (AAPL1826A135-P),39.05,0.0,35.20,37.50,0,33,18 Jan 135.00 (AAPL1826M135-P),0.0,0.0,0.0,0.13,0,0,
18 Jan 135.00 (AAPL1826A135-S),0.0,0.0,34.25,38.50,0,33,18 Jan 135.00 (AAPL1826M135-S),0.0,0.0,0.0,0.13,0,0,
18 Jan 135.00 (AAPL1826A135-X),0.0,0.0,34.25,38.50,0,33,18 Jan 135.00 (AAPL1826M135-X),0.0,0.0,0.0,0.18,0,0,
18 Jan 135.00 (AAPL1826A135-Y),0.0,0.0,35.20,37.50,0,33,18 Jan 135.00 (AAPL1826M135-Y),0.0,0.0,0.0,0.13,0,0,
